Loading pre-computed embeddings from cache: /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
Emb cache: loaded iv=(92115, 1152) ex=(92115, 1152) from /Users/erdem/Documents/github/autoresearch/figures/report/native_baseline/emb_cache_w8
[full_iv_ex/frozen] epoch 138/200 loss=2.1179 iv_val=0.8978 ex_val=0.8248 bal_val=0.8613 ex2iv=0.0610 align=0.4713 cpair=0.0000
[full_iv_ex/frozen] epoch 139/200 loss=2.1145 iv_val=0.9005 ex_val=0.8531 bal_val=0.8768 ex2iv=0.0699 align=0.4708 cpair=0.0000
[full_iv_ex/frozen] epoch 140/200 loss=2.1152 iv_val=0.8936 ex_val=0.8490 bal_val=0.8713 ex2iv=0.0607 align=0.4711 cpair=0.0000
[full_iv_ex/frozen] epoch 141/200 loss=2.1150 iv_val=0.9022 ex_val=0.8146 bal_val=0.8584 ex2iv=0.0660 align=0.4711 cpair=0.0000
[full_iv_ex/frozen] epoch 142/200 loss=2.1132 iv_val=0.8972 ex_val=0.8212 bal_val=0.8592 ex2iv=0.0739 align=0.4695 cpair=0.0000
[full_iv_ex/frozen] epoch 143/200 loss=2.1165 iv_val=0.8967 ex_val=0.8140 bal_val=0.8554 ex2iv=0.0729 align=0.4717 cpair=0.0000
[full_iv_ex/frozen] epoch 144/200 loss=2.1161 iv_val=0.8919 ex_val=0.8397 bal_val=0.8658 ex2iv=0.0591 align=0.4710 cpair=0.0000
[full_iv_ex/frozen] epoch 145/200 loss=2.1161 iv_val=0.8888 ex_val=0.8271 bal_val=0.8579 ex2iv=0.0705 align=0.4707 cpair=0.0000
[full_iv_ex/frozen] epoch 146/200 loss=2.1141 iv_val=0.8899 ex_val=0.8406 bal_val=0.8652 ex2iv=0.0677 align=0.4711 cpair=0.0000
[full_iv_ex/frozen] epoch 147/200 loss=2.1142 iv_val=0.8811 ex_val=0.8184 bal_val=0.8498 ex2iv=0.0613 align=0.4696 cpair=0.0000
[full_iv_ex/frozen] epoch 148/200 loss=2.1165 iv_val=0.8940 ex_val=0.8073 bal_val=0.8507 ex2iv=0.0644 align=0.4715 cpair=0.0000
[full_iv_ex/frozen] epoch 149/200 loss=2.1122 iv_val=0.8778 ex_val=0.8308 bal_val=0.8543 ex2iv=0.0618 align=0.4684 cpair=0.0000
[full_iv_ex/frozen] epoch 150/200 loss=2.1153 iv_val=0.8981 ex_val=0.8185 bal_val=0.8583 ex2iv=0.0651 align=0.4702 cpair=0.0000
[full_iv_ex/frozen] epoch 151/200 loss=2.1137 iv_val=0.8695 ex_val=0.8110 bal_val=0.8403 ex2iv=0.0592 align=0.4705 cpair=0.0000
[full_iv_ex/frozen] epoch 152/200 loss=2.1130 iv_val=0.8863 ex_val=0.8124 bal_val=0.8493 ex2iv=0.0671 align=0.4699 cpair=0.0000
[full_iv_ex/frozen] epoch 153/200 loss=2.1171 iv_val=0.8887 ex_val=0.8048 bal_val=0.8468 ex2iv=0.0664 align=0.4712 cpair=0.0000
[full_iv_ex/frozen] epoch 154/200 loss=2.1122 iv_val=0.8786 ex_val=0.8220 bal_val=0.8503 ex2iv=0.0668 align=0.4686 cpair=0.0000
